,L,L,L,L,L,L,L,L,L,L,L,L,M,M,M,M,M,M,M,M,M,M,M,M,H,H,H,H,H,H,H,H,H,H,H,H
,Cplex,Cplex,Cplex,Cplex,RS,RS,RS,RS,LM + RS,LM + RS,LM + RS,LM + RS,Cplex,Cplex,Cplex,Cplex,RS,RS,RS,RS,LM + RS,LM + RS,LM + RS,LM + RS,Cplex,Cplex,Cplex,Cplex,RS,RS,RS,RS,LM + RS,LM + RS,LM + RS,LM + RS
,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual
7,0.03208745127834081,0.08015455291273395,3.0,9.0,0.5373825578078351,0.7288892694426691,0,0,0.45056293991036334,0.7288892694426691,0,0.0,0.1539933142237707,0.38571039228650994,0,9.0,0.6576672029867565,0.8003621390917673,0,0,0.6048058976679703,0.8003621390917673,0,0.0,0.1927673950707796,0.3837478029683798,0,9.0,0.6063386922632517,0.7170691732510113,0,0,0.6063386922632517,0.7170691732510113,0,0.0
14,0.37637308173161554,0.5840692491195394,0.0,9.0,0.9195044847603212,0.9884962546274337,0,0,0.7824577020226103,0.9884962546274337,0,1.0,0.35798912284708045,0.46489531168443204,0,9.0,0.8344238421242901,0.9367757286643071,0,0,0.7444357134645743,0.9367757286643071,0,1.0,0.4017147198511042,0.4856582578848496,0,9.0,0.7605011114800594,0.8403247004895277,0,0,0.7186118904578246,0.8403247004895277,0,1.0
30,0.9588806273787956,1.3982166853108866,0.0,9.0,1.2806861864300512,1.4339988557735828,0,0,1.2317355004935406,1.4332701145367963,0,0.0,0.6896506302364211,0.8453463625939279,0,9.0,0.9731506903784705,1.0825083405349107,0,0,0.9722896616284138,1.0825083405349107,0,0.0,0.5853628425195706,0.7487899712477657,0,9.0,0.8387545020061598,0.9436822065163197,0,0,0.8387487820912661,0.9436822065163197,0,0.0
