,L,L,L,L,L,L,L,L,L,L,L,L,M,M,M,M,M,M,M,M,M,M,M,M,H,H,H,H,H,H,H,H,H,H,H,H
,Cplex,Cplex,Cplex,Cplex,RS,RS,RS,RS,LM + RS,LM + RS,LM + RS,LM + RS,Cplex,Cplex,Cplex,Cplex,RS,RS,RS,RS,LM + RS,LM + RS,LM + RS,LM + RS,Cplex,Cplex,Cplex,Cplex,RS,RS,RS,RS,LM + RS,LM + RS,LM + RS,LM + RS
,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual
7,0.10226717083431544,0.3437578175445674,0,9.0,0.637145544074467,0.8598283971201313,0,0.0,0.5403722003462917,0.8598283971201313,0,0.0,0.2785348539049782,0.4606031179090373,0,9.0,0.7417009855638521,0.7886308937717689,0,0.0,0.6435171371207897,0.7886308937717689,0,0.0,0.3081860603142733,0.47593951924435535,0,9.0,0.6826413421984151,0.7342310620127668,0,0.0,0.6180032254280884,0.7342310620127668,0,0.0
14,0.6555301725980831,0.927795119231185,0,9.0,1.1063729166980945,1.2294647274835606,0,0.0,0.9093749484861294,1.1917337817364493,0,2.0,0.698373415691179,0.8382005131199057,0,9.0,0.9230673288218116,1.0183379090029454,0,0.0,0.8103936029474997,1.004570656215923,0,2.0,0.6337733515519096,0.7850973846457752,0,9.0,0.8335779365470759,0.9010104755126331,0,0.0,0.7843599070378089,0.9010104755126331,0,1.0
30,2.4654632730617494,8.871892659269172,0,9.0,1.5213607389691888,1.7159206338457367,0,4.0,1.4387112771704005,1.7218961935495867,0,4.0,1.0195347754683648,1.4691173843811782,0,9.0,1.1056783656130502,1.2430264085128981,0,1.0,1.0398936715611216,1.2430264085128981,0,2.0,0.8719457794627374,1.2634638208300144,0,9.0,0.9589838449947108,1.0637232397796406,0,2.0,0.9593000093157364,1.0637232397796406,0,2.0
