,L,L,L,L,L,L,L,L,L,L,L,L,M,M,M,M,M,M,M,M,M,M,M,M,H,H,H,H,H,H,H,H,H,H,H,H
,Cplex,Cplex,Cplex,Cplex,RS,RS,RS,RS,LM + RS,LM + RS,LM + RS,LM + RS,Cplex,Cplex,Cplex,Cplex,RS,RS,RS,RS,LM + RS,LM + RS,LM + RS,LM + RS,Cplex,Cplex,Cplex,Cplex,RS,RS,RS,RS,LM + RS,LM + RS,LM + RS,LM + RS
,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual,Avg Gap,Max Gap,% Opt,BetterOrEqual
7,0.0,0.0,9.0,9.0,0.003628439496880836,0.01684010843365163,4.0,4.0,0.014061267377552823,0.04813642006971582,6.0,6.0,0.0011862702345943376,0.010676432111349037,8.0,9.0,0.0027753625930820075,0.012495679860286718,6.0,6.0,0.01605819249993022,0.06982744075227133,6.0,6.0,0.00338080025062463,0.017025506114305745,7.0,9.0,0.004156964524832813,0.01820491444798122,3.0,4.0,0.01564230510684904,0.08076545402285965,6.0,7.0
14,0.0,0.0,9.0,9.0,0.0007715702928812393,0.004636192680457192,6.0,6.0,0.0,0.0,9.0,9.0,0.015789430643896707,0.06361320400207719,6.0,9.0,0.017672796371299256,0.06293316937258771,3.0,6.0,0.014434968291818458,0.05796950715097205,5.0,7.0,0.034015991157537034,0.095012219953035,2.0,9.0,0.03203898049780314,0.08147517105516022,2.0,8.0,0.03106166719985464,0.0840135219473042,2.0,8.0
30,0.19643265384632938,0.2608131953452455,0.0,9.0,0.17188190574258874,0.21619799535545034,0.0,7.0,0.19638695247819593,0.3857851505392707,0.0,6.0,0.2927509198451861,0.34796635645527535,0.0,9.0,0.2581755686027982,0.5139164454678222,0.0,8.0,0.2537840088466147,0.323521523986294,0.0,6.0,0.3217084435869697,0.3679703584348609,0.0,9.0,0.31761422555426133,0.5057219862030866,0.0,5.0,0.2696713125774666,0.33788172892834706,0.0,8.0
